id,publication_id,edition_id,title,author_creator,date_period,year,place_of_publishing,publisher,language,subject_keywords,url_original_object
389823,422424,389823,Հայ-բուլղարական գրական կապերի պատմությունից,"Ճինգոզյան, Կ. Հ.",1966.0,1966.0,Երևան,Հայկական ՍՍՌ ԳԱ հրատ.,hy ; ru,Գրականագիտություն Գրական կապեր,https://arar.sci.am/dlibra/publication/422424/edition/389823
390062,422702,390062,Հայ գեղարվեստական արձակի սկզբնավորումը (V դար),"Ավդալբեգյան, Մայիս",1971.0,1971.0,Երևան,ՀՍՍՀ ԳԱ հրատ.,hy,Հայ գրականության պատմություն,https://arar.sci.am/dlibra/publication/422702/edition/390062
382195,413609,382195,Հայ գրականութեան պատմութիւն (XI-XIX դարի 30-ական թ.թ.),"Աբեղեան, Մանուկ",1959.0,1959.0,Պէյրութ,տպ. Սեւան,hy,Հայ գրականութեան պատմութիւն,https://arar.sci.am/dlibra/publication/413609/edition/382195
411507,445734,411507,Հայ գրականության ազգային առանձնահատկությունները,,2003.0,2003.0,Երևան,ՀՀ ԳԱԱ «Գիտություն» հրատ.,hy; ru,Հայ գրականության հետազոտություն,https://arar.sci.am/dlibra/publication/445734/edition/411507
403599,435508,403599,"Հայ գրականության միջազգային կապերը, Հատոր 1",,1983.0,1983.0,Երևան,ՀՍՍՀ ԳԱ հրատ.,hy,Հայ գրականություն Գրական կապեր,https://arar.sci.am/dlibra/publication/435508/edition/403599
408627,442580,408627,"Հայ գրականության միջազգային կապերը, Հատոր 2",,1987.0,1987.0,Երևան,ՀՍՍՀ ԳԱ հրատ.,hy,Հայ գրականություն Գրական կապեր,https://arar.sci.am/dlibra/publication/442580/edition/408627
375446,406333,375446,Հայ գրականության պատմություն,,1951.0,1951.0,Երևան,ՀՍՍՌ ԳԱ հրատ.,hy,Հայ գրականագիտություն Դասագրքեր,https://arar.sci.am/dlibra/publication/406333/edition/375446
375426,406330,375426,Հայ գրականության պատմություն,,1951.0,1951.0,Երևան,ՀՍՍՌ ԳԱ հրատ.,hy,Հայ գրականագիտություն Դասագրքեր,https://arar.sci.am/dlibra/publication/406330/edition/375426
375409,406311,375409,Հայ գրականության պատմություն,,1950.0,1950.0,Երևան,ՀՍՍՌ ԳԱ հրատ.,hy,Գրականագիտություն Հայ գրականության պատմություն,https://arar.sci.am/dlibra/publication/406311/edition/375409
379278,410421,379278,Հայ գրականություն,"Մկրյան, Մ. ; Զարյան, Ռ. ; Ստեփանյան, Գ. ; Մկրտչյան, Հ. ; Գրիգորյան, Գր. ; Պարտիզունի, Գր. ; Բազյան, Ս.",1954.0,1954.0,Երևան,ՀՍՍՌ ԳԱ հրատ.,hy,Հայ գրականություն Ձեռնարկ,https://arar.sci.am/dlibra/publication/410421/edition/379278
379520,410620,379520,Հայ գրականություն,,1954.0,1954.0,Երևան,ՀՍՍՌ ԳԱ հրատ.,hy,Հայ գրականություն Ձեռնարկ,https://arar.sci.am/dlibra/publication/410620/edition/379520
375383,406300,375383,Հայ գրականություն,,1955.0,1955.0,Երևան,ՀՍՍՌ ԳԱ հրատ.,hy,Հայ գրականություն Ձեռնարկ,https://arar.sci.am/dlibra/publication/406300/edition/375383
375245,406246,375245,Հայ գրականություն,,1955.0,1955.0,Երևան,ՀՍՍՌ ԳԱ հրատ.,hy,Հայ գրականություն Ձեռնարկ,https://arar.sci.am/dlibra/publication/406246/edition/375245
376373,407231,376373,Հայ գրականությունը և ռուսական առաջին ռևոլյուցիան,"Ասատրյան, Ասատուր",1956.0,1956.0,Երևան,ՀՍՍՌ ԳԱ հրատ.,hy,Հայ գրականագիտություն,https://arar.sci.am/dlibra/publication/407231/edition/376373
408217,442223,408217,Հայ գրականությունը և քրիստոնեությունը,,2002.0,2002.0,Երևան,ՀՀ ԳԱԱ «Գիտություն» հրատ.,hy,Հայ գրականություն Քրիստոնեություն,https://arar.sci.am/dlibra/publication/442223/edition/408217
398797,431583,398797,Հայ գրականությունը պատմա-գործառական լուսաբանությամբ,,1989.0,1989.0,Երևան,ՀՍՍՀ ԳԱ հրատ.,hy,Գրականագիտություն,https://arar.sci.am/dlibra/publication/431583/edition/398797
391302,423775,391302,Հայ գրողները գեղարվեստական թարգմանության մասին,,1985.0,1985.0,Երևան,ՀՍՍՀ ԳԱ հրատ.,hy,Հայ գրականագիտություն,https://arar.sci.am/dlibra/publication/423775/edition/391302
